winery,country,points,description,designation,Refined-description,CountVectorizer,TF-IDF Vectorizer Column
Heitz,US,96,"This tremendous 100% varietal wine hails from Oakville and was aged over three years in oak. Juicy red-cherry fruit and a compelling hint of caramel greet the palate, framed by elegant, fine tannins and a subtle minty tone in the background. Balanced and rewarding from start to finish, it has years ahead of it to develop further nuance. Enjoy 2022–2030.",Martha's Vineyard,This tremendous 100 varietal wine hail Oakville aged three year oak Juicy redcherry fruit compelling hint caramel greet palate framed elegant fine tannin subtle minty tone background Balanced rewarding start finish year ahead develop nuance Enjoy 2022–2030,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251]]"
Bodega Carmen Rodríguez,Spain,96,"Ripe aromas of fig, blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full, layered, intense and cushioned on the palate, with rich flavors of chocolaty black fruits and baking spices. A toasty, everlasting finish is heady but ideally balanced. Drink through 2023.",Carodorum Selección Especial Reserva,Ripe aroma fig blackberry cassis softened sweetened slathering oaky chocolate vanilla This full layered intense cushioned palate rich flavor chocolaty black fruit baking spice A toasty everlasting finish heady ideally balanced Drink 2023,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536]]"
Macauley,US,96,"Mac Watson honors the memory of a wine once made by his mother in this tremendously delicious, balanced and complex botrytised white. Dark gold in color, it layers toasted hazelnut, pear compote and orange peel flavors, reveling in the succulence of its 122 g/L of residual sugar.",Special Selected Late Harvest,Mac Watson honor memory wine made mother tremendously delicious balanced complex botrytised white Dark gold color layer toasted hazelnut pear compote orange peel flavor reveling succulence 122 gL residual sugar,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186]]"
Ponzi,US,96,"This spent 20 months in 30% new French oak, and incorporates fruit from Ponzi's Aurora, Abetina and Madrona vineyards, among others. Aromatic, dense and toasty, it deftly blends aromas and flavors of toast, cigar box, blackberry, black cherry, coffee and graphite. Tannins are polished to a fine sheen, and frame a finish loaded with dark chocolate and espresso. Drink now through 2032.",Reserve,This spent 20 month 30 new French oak incorporates fruit Ponzi Aurora Abetina Madrona vineyard among others Aromatic dense toasty deftly blend aroma flavor toast cigar box blackberry black cherry coffee graphite Tannins polished fine sheen frame finish loaded dark chocolate espresso Drink 2032,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607, 0.15617376188860607]]"
Domaine de la Bégude,France,95,"This is the top wine from La Bégude, named after the highest point in the vineyard at 1200 feet. It has structure, density and considerable acidity that is still calming down. With 18 months in wood, the wine has developing an extra richness and concentration. Produced by the Tari family, formerly of Château Giscours in Margaux, it is a wine made for aging. Drink from 2020.",La Brûlade,This top wine La Bégude named highest point vineyard 1200 foot It structure density considerable acidity still calming With 18 month wood wine developing extra richness concentration Produced Tari family formerly Château Giscours Margaux wine made aging Drink 2020,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.48666426339228763, 0.16222142113076254]]"
Numanthia,Spain,95,"Deep, dense and pure from the opening bell, this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry, coffee, mocha and toasty oak finish spicy, smooth and heady. Drink this exemplary Toro through 2023.",Numanthia,Deep dense pure opening bell Toro winner Aromas dark ripe black fruit cool moderately oaked This feel massive palate sensationally balanced Flavors blackberry coffee mocha toasty oak finish spicy smooth heady Drink exemplary Toro 2023,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]]"
Maurodos,Spain,95,"Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry, mocha and chocolate are highly impressive and expressive, while this settles nicely on a long finish. Drink now through 2024.",San Román,Slightly gritty blackfruit aroma include sweet note pastry along hint prune Walltowall saturation ensures corner one mouth covered Flavors blackberry mocha chocolate highly impressive expressive settle nicely long finish Drink 2024,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186]]"
Bodega Carmen Rodríguez,Spain,95,"Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate, but still lush and friendly. Chocolate is a key flavor, while baked berry and cassis flavors are hardly wallflowers. On the finish, this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023.",Carodorum Único Crianza,Lush cedary blackfruit aroma luxe offer note marzipan vanilla This bruiser massive tannic palate still lush friendly Chocolate key flavor baked berry cassis flavor hardly wallflower On finish tannic deep sea trench Drink saturated blackcolored Toro 2023,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[[0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.31622776601683794, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.31622776601683794, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.31622776601683794, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897]]"
Bergström,US,95,"This re-named vineyard was formerly bottled as deLancellotti. You'll find striking minerality underscoring chunky black fruits. Accents of citrus and graphite comingle, with exceptional midpalate concentration. This is a wine to cellar, though it is already quite enjoyable. Drink now through 2030.",Silice,This renamed vineyard formerly bottled deLancellotti You find striking minerality underscoring chunky black fruit Accents citrus graphite comingle exceptional midpalate concentration This wine cellar though already quite enjoyable Drink 2030,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[[0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477]]"
Blue Farm,US,95,"The producer sources from two blocks of the vineyard for this wine—one at a high elevation, which contributes bright acidity. Crunchy cranberry, pomegranate and orange peel flavors surround silky, succulent layers of texture that present as fleshy fruit. That delicately lush flavor has considerable length.",Gap's Crown Vineyard,The producer source two block vineyard wine—one high elevation contributes bright acidity Crunchy cranberry pomegranate orange peel flavor surround silky succulent layer texture present fleshy fruit That delicately lush flavor considerable length,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.3592106040535498, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749]]"
